EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-7-1,77,75,72,73,71,70,93,88,82,30.06,29.99,29.91,9,5,0,14,3,26,0.84,7,Fog-Rain,203
2013-7-2,82,77,72,74,72,70,94,84,74,30.19,30.11,30.06,10,8,6,12,3,22,0.08,6,Rain,170
2013-7-3,83,78,73,76,73,68,100,87,74,30.26,30.21,30.17,10,7,0,12,4,18,0.53,4,Fog-Rain,250
2013-7-4,87,81,75,75,72,69,100,80,59,30.28,30.22,30.16,10,8,6,14,4,23,0.00,4,,235
2013-7-5,90,83,76,73,71,66,87,69,51,30.25,30.17,30.09,10,9,8,13,5,19,0.00,1,,235
2013-7-6,92,85,78,72,70,67,79,62,44,30.14,30.09,30.03,10,10,9,13,5,21,0.00,0,,270
2013-7-7,92,85,78,72,70,63,74,63,51,30.06,30.00,29.93,10,10,10,13,4,23,0.00,1,,256
2013-7-8,89,81,73,72,67,64,87,67,46,30.05,30.01,29.96,10,8,0,13,5,24,0.22,2,Fog-Rain,263
2013-7-9,88,81,74,74,68,65,88,71,53,30.08,30.04,29.99,9,6,1,15,3,25,0.23,3,Rain,251
2013-7-10,85,80,75,74,71,68,87,73,59,30.01,29.92,29.81,10,6,4,13,4,20,T,4,Rain,243
2013-7-11,84,80,76,73,67,58,85,66,47,29.93,29.86,29.80,10,9,7,10,4,17,T,3,,292
2013-7-12,77,73,68,69,65,59,93,74,54,30.12,30.05,29.93,10,6,2,18,10,27,0.25,6,Rain,68
2013-7-13,81,74,67,72,70,66,97,86,74,30.31,30.23,30.12,9,5,2,13,5,18,0.06,7,Rain,74
2013-7-14,90,82,74,74,71,67,100,76,51,30.37,30.31,30.24,10,7,4,10,4,16,0.00,4,Rain,263
2013-7-15,94,86,78,73,70,67,79,62,44,30.25,30.20,30.13,10,10,8,9,4,16,0.00,1,,307
2013-7-16,94,86,77,70,65,60,71,54,36,30.20,30.17,30.13,10,9,9,14,5,20,0.00,1,,29
2013-7-17,97,88,79,71,68,63,71,53,34,30.19,30.13,30.07,10,8,7,9,3,16,0.00,1,,35
2013-7-18,98,90,81,72,69,66,65,52,38,30.07,30.01,29.96,10,8,6,9,4,15,0.00,0,,270
2013-7-19,96,90,83,75,73,69,74,60,46,29.97,29.89,29.79,8,6,5,15,5,25,0.00,1,,251
2013-7-20,93,87,81,74,69,67,69,58,47,29.83,29.79,29.73,10,7,6,15,6,26,0.00,1,,254
2013-7-21,89,83,76,69,64,58,79,58,36,29.96,29.91,29.84,10,10,8,12,5,17,0.00,2,,80
2013-7-22,86,81,75,74,71,66,94,80,65,29.98,29.90,29.81,9,6,2,12,5,17,0.06,6,Rain,88
2013-7-23,87,80,73,74,72,67,94,75,55,29.83,29.69,29.57,10,6,1,14,4,23,0.31,6,Rain,251
2013-7-24,83,76,68,68,62,52,79,62,45,29.94,29.75,29.62,10,10,10,14,5,22,0.00,2,,327
2013-7-25,68,66,64,59,53,49,73,63,52,30.07,30.02,29.94,10,10,10,17,9,25,0.01,8,Rain,57
2013-7-26,83,74,65,63,58,55,78,59,40,30.05,30.02,30.00,10,10,10,13,5,18,0.00,5,,34
2013-7-27,82,76,70,64,62,57,84,65,45,30.06,30.02,29.97,10,10,8,12,3,21,0.00,1,,250
2013-7-28,78,74,70,71,67,63,93,80,67,30.02,29.97,29.93,10,7,2,13,2,20,0.24,5,Rain,161
2013-7-29,85,77,69,69,63,49,97,66,34,30.10,30.02,29.96,10,9,5,14,4,22,0.01,2,Rain,293
2013-7-30,83,75,67,56,54,52,63,51,39,30.17,30.13,30.11,10,10,10,10,4,17,0.00,1,,294
2013-7-31,83,75,67,61,57,54,68,54,39,30.17,30.11,30.05,10,10,10,8,3,17,0.00,1,,243
