Neighborhood,tripsnumber,revenue,tipamount,tippercentage,month
Financial District,244169,4007690.34,381464.93,0.0952,1
Williamsburg,53928,840036.01,79560.54,0.0947,1
West Village,362780,4405069.14,422856.63,0.096,1
Ridgewood,372,5244.31,318.11,0.0607,1
Clearview,17,343.42,26.12,0.0761,1
Williams Bridge,70,1115.02,38.32,0.0344,1
Cobble Hill,8882,160515.3,16583.5,0.1033,1
Inwood,771,14182.88,981.48,0.0692,1
Harlem,53284,719401.58,57782.21,0.0803,1
Auburndale,63,1469.85,66.45,0.0452,1
Jackson Heights,8528,165326.23,10702.18,0.0647,1
Chelsea,946868,10835155.66,1036751.32,0.0957,1
University Heights,274,4036.13,267.33,0.0662,1
Greenwood,1273,23206.96,2230.66,0.0961,1
Wakefield-Williamsbridge,78,1609.33,109.83,0.0682,1
Park Slope,14002,211692.98,19173.01,0.0906,1
Chinatown,46558,627798.32,47976.63,0.0764,1
Corona,690,26817.59,2719.94,0.1014,1
South Bronx,854,11947.41,606.15,0.0507,1
Sunny Side,44518,738396.86,55173.62,0.0747,1
Soho,322176,4015234,386014.23,0.0961,1
Dyker Heights,146,2307.27,135.57,0.0588,1
Upper West Side,1156870,13104927,1103997.57,0.0842,1
Queens Village,79,974.1,42.9,0.044,1
Bay Ridge,542,9996.13,831.53,0.0832,1
Woodhaven-Richmond Hill,407,8130.32,633.27,0.0779,1
Jamaica,2877,149651.42,12600.26,0.0842,1
Bedford Park,235,3602.33,230.73,0.0641,1
East Village,497414,6155023.9,585517.21,0.0951,1
Hunts Point,159,2387.61,177.11,0.0742,1
Gravesend-Sheepshead Bay,690,11709.08,800.33,0.0684,1
Lower East Side,299142,4012182.8,373832.24,0.0932,1
Mapleton-Flatlands,1419,20748.54,1519.47,0.0732,1
Baychester,17,298.92,17.12,0.0573,1
Upper East Side,1935610,21458319.32,1771732.91,0.0826,1
Union Port,187,3124.77,239.17,0.0765,1
Central Park,178981,1989088.45,159601.95,0.0802,1
Woodside,12306,188823.36,10795.8,0.0572,1
Greenwich Village,664037,7738205.09,717933.56,0.0928,1
Forest Hills,6243,113641.96,7638.67,0.0672,1
Middle Village,196,3348.69,222.99,0.0666,1
Downtown,29045,476602.88,44042.73,0.0924,1
Morris Heights,1275,17347.02,1294.72,0.0746,1
